DATE,A084RC1Q027SBEA_PCH
1947-04-01,0.18057
1947-07-01,36.80606
1947-10-01,-19.49934
1948-01-01,9.03437
1948-04-01,-2.13149
1948-07-01,11.96319
1948-10-01,-4.43836
1949-01-01,9.43234
1949-04-01,5.39691
1949-07-01,2.58514
1949-10-01,-2.59268
1950-01-01,47.28856
1950-04-01,-28.05269
1950-07-01,-21.64319
1950-10-01,4.28400
1951-01-01,-4.19420
1951-04-01,2.48876
1951-07-01,1.40433
1951-10-01,0.28852
1952-01-01,-11.47871
1952-04-01,6.53234
1952-07-01,6.89445
1952-10-01,-5.70776
1953-01-01,2.93584
1953-04-01,0.00000
1953-07-01,0.32343
1953-10-01,3.39977
1954-01-01,3.85488
1954-04-01,3.02948
1954-07-01,5.90728
1954-10-01,4.75238
1955-01-01,2.65043
1955-04-01,-2.20982
1955-07-01,0.14272
1955-10-01,-0.21378
1956-01-01,1.49964
1956-04-01,2.11069
1956-07-01,2.27377
1956-10-01,1.54952
1957-01-01,3.22866
1957-04-01,8.22622
1957-07-01,-0.61362
1957-10-01,6.15415
1958-01-01,6.17261
1958-04-01,8.64110
1958-07-01,1.74040
1958-10-01,-1.99840
1959-01-01,9.47798
1959-04-01,0.23841
1959-07-01,-1.84332
1959-10-01,4.14963
1960-01-01,-2.51563
1960-04-01,5.26551
1960-07-01,-1.04860
1960-10-01,5.87140
1961-01-01,5.15352
1961-04-01,5.62130
1961-07-01,-3.47095
1961-10-01,0.31542
1962-01-01,2.31417
1962-04-01,1.43823
1962-07-01,-2.62967
1962-10-01,3.80834
1963-01-01,4.28006
1963-04-01,0.33341
1963-07-01,-4.70952
1963-10-01,2.53728
1964-01-01,2.62695
1964-04-01,1.78265
1964-07-01,-3.18850
1964-10-01,1.84391
1965-01-01,3.48440
1965-04-01,3.65317
1965-07-01,4.55414
1965-10-01,-2.54848
1966-01-01,3.63617
1966-04-01,4.18217
1966-07-01,-0.44389
1966-10-01,9.78967
1967-01-01,7.23051
1967-04-01,2.50288
1967-07-01,2.30522
1967-10-01,1.85287
1968-01-01,4.84082
1968-04-01,6.90390
1968-07-01,2.52407
1968-10-01,3.04555
1969-01-01,-0.09114
1969-04-01,4.37219
1969-07-01,0.19353
1969-10-01,3.99402
1970-01-01,1.64769
1970-04-01,16.09195
1970-07-01,0.72100
1970-10-01,4.74870
1971-01-01,3.23403
1971-04-01,9.10913
1971-07-01,-0.38881
1971-10-01,3.22124
1972-01-01,4.03075
1972-04-01,-0.68704
1972-07-01,2.28854
1972-10-01,8.60333
1973-01-01,0.94135
1973-04-01,3.41822
1973-07-01,0.73527
1973-10-01,1.28766
1974-01-01,4.65006
1974-04-01,9.80284
1974-07-01,2.84277
1974-10-01,5.03078
1975-01-01,8.62933
1975-04-01,10.70942
1975-07-01,-1.32532
1975-10-01,2.33546
1976-01-01,1.77420
1976-04-01,-0.59383
1976-07-01,5.84003
1976-10-01,-0.61496
1977-01-01,1.61949
1977-04-01,0.92170
1977-07-01,2.73984
1977-10-01,1.02568
1978-01-01,2.13804
1978-04-01,0.72310
1978-07-01,3.94752
1978-10-01,1.37756
1979-01-01,2.38119
1979-04-01,2.15946
1979-07-01,6.86813
1979-10-01,2.91437
1980-01-01,4.69712
1980-04-01,1.15419
1980-07-01,12.31606
1980-10-01,1.89089
1981-01-01,0.86731
1981-04-01,1.00937
1981-07-01,6.24517
1981-10-01,0.54388
1982-01-01,1.79648
1982-04-01,2.34670
1982-07-01,4.91798
1982-10-01,4.93766
1983-01-01,-0.26454
1983-04-01,1.78663
1983-07-01,-1.01429
1983-10-01,1.88769
1984-01-01,0.03452
1984-04-01,0.80449
1984-07-01,1.08828
1984-10-01,3.03762
1985-01-01,1.41910
1985-04-01,0.91896
1985-07-01,1.73300
1985-10-01,0.87718
1986-01-01,1.56515
1986-04-01,2.38362
1986-07-01,1.82513
1986-10-01,0.34755
1987-01-01,0.42018
1987-04-01,1.38395
1987-07-01,0.40580
1987-10-01,1.95375
1988-01-01,2.61047
1988-04-01,0.39373
1988-07-01,1.46559
1988-10-01,2.41759
1989-01-01,3.48366
1989-04-01,1.10855
1989-07-01,2.41117
1989-10-01,2.65146
1990-01-01,3.05232
1990-04-01,2.75530
1990-07-01,1.46518
1990-10-01,1.78069
1991-01-01,-9.23370
1991-04-01,11.82851
1991-07-01,5.89108
1991-10-01,5.74982
1992-01-01,5.53559
1992-04-01,2.99127
1992-07-01,1.33768
1992-10-01,2.36222
1993-01-01,0.78649
1993-04-01,0.98485
1993-07-01,2.16593
1993-10-01,1.78134
1994-01-01,-0.24557
1994-04-01,0.81478
1994-07-01,0.89608
1994-10-01,3.55438
1995-01-01,1.15317
1995-04-01,0.76289
1995-07-01,0.67279
1995-10-01,-0.65306
1996-01-01,4.13971
1996-04-01,1.26851
1996-07-01,-0.36638
1996-10-01,1.40999
1997-01-01,0.68726
1997-04-01,0.10422
1997-07-01,0.68931
1997-10-01,1.81278
1998-01-01,-0.27099
1998-04-01,0.36791
1998-07-01,0.42302
1998-10-01,2.11066
1999-01-01,0.30361
1999-04-01,0.33988
1999-07-01,1.04830
1999-10-01,1.45120
2000-01-01,0.54184
2000-04-01,2.62990
2000-07-01,1.26945
2000-10-01,1.61951
2001-01-01,3.12314
2001-04-01,2.78013
2001-07-01,0.65089
2001-10-01,4.20857
2002-01-01,2.69191
2002-04-01,1.63005
2002-07-01,0.97791
2002-10-01,1.47741
2003-01-01,1.60453
2003-04-01,1.46328
2003-07-01,1.50501
2003-10-01,0.42113
2004-01-01,3.22630
2004-04-01,1.18538
2004-07-01,0.63228
2004-10-01,1.32053
2005-01-01,2.93481
2005-04-01,1.11667
2005-07-01,1.33403
2005-10-01,0.95428
2006-01-01,3.05850
2006-04-01,1.45044
2006-07-01,1.67666
2006-10-01,-0.02357
2007-01-01,4.67860
2007-04-01,-0.52475
2007-07-01,1.47437
2007-10-01,2.12488
2008-01-01,2.00755
2008-04-01,19.16385
2008-07-01,-9.68286
2008-10-01,-0.72578
2009-01-01,5.79428
2009-04-01,7.09897
2009-07-01,0.27754
2009-10-01,0.02394
2010-01-01,5.09608
2010-04-01,0.26282
2010-07-01,1.21284
2010-10-01,0.45236
2011-01-01,0.43318
2011-04-01,0.09220
2011-07-01,-0.43717
2011-10-01,0.32514
2012-01-01,-0.61924
2012-04-01,1.08177
2012-07-01,0.29905
2012-10-01,0.63325
2013-01-01,0.79300
2013-04-01,0.57280
2013-07-01,0.94809
2013-10-01,0.02095
2014-01-01,1.15415
2014-04-01,2.13812
2014-07-01,1.63478
2014-10-01,1.02624
2015-01-01,1.76005
2015-04-01,1.21516
2015-07-01,0.70442
2015-10-01,0.34866
2016-01-01,1.26568
2016-04-01,0.48081
2016-07-01,0.90375
2016-10-01,0.63964
2017-01-01,1.06310
2017-04-01,0.25576
2017-07-01,1.28516
2017-10-01,0.80471
2018-01-01,1.58940
2018-04-01,1.15496
2018-07-01,0.67246
2018-10-01,0.71479
2019-01-01,2.92553
2019-04-01,0.90713
2019-07-01,0.88194
2019-10-01,0.49334
2020-01-01,1.82916
2020-04-01,70.80922
2020-07-01,-19.88791
2020-10-01,-14.29847
2021-01-01,59.69089
2021-04-01,-27.87263
2021-07-01,-5.37963
2021-10-01,-5.14548
2022-01-01,0.33478
2022-04-01,0.96162
2022-07-01,0.73939
2022-10-01,1.88168
2023-01-01,0.65441
2023-04-01,0.37293
2023-07-01,-0.93158
